80,64,83,80,44,100,196,128,43,170
192,195,102,74,137,38,168,126,163,56
33,67,154,71,12,16,2,65,2,32
126,59,108,179,198,96,183,155,37,109
90,17,186,117,45,96,87,37,157,56
144,61,167,159,24,56,199,106,87,38
62,152,68,16,10,165,145,128,183,132
161,164,198,89,114,178,58,152,69,56
189,41,75,50,195,66,139,192,172,21
174,83,147,152,195,9,109,1,126,165
146,86,146,20,136,161,49,44,121,9
115,148,117,18,126,50,177,105,97,9
181,156,179,64,173,42,73,100,56,180
47,107,194,119,63,163,167,142,70,55
46,159,17,26,52,97,57,4,168,76
9,71,52,104,82,182,148,77,78,129
69,10,175,52,73,51,166,70,169,174
117,105,197,187,36,52,77,24,186,41
88,150,32,190,14,198,17,124,126,9
55,41,101,169,10,57,110,172,153,81
97,131,28,2,188,97,146,100,78,9
35,28,140,46,143,141,46,80,163,34
197,54,73,42,181,29,29,132,72,118
188,176,145,36,76,91,145,75,75,49
190,156,117,35,143,172,25,45,148,12
114,108,27,23,78,149,144,117,87,41
58,113,190,177,159,86,133,120,7,182
21,32,188,12,114,151,113,136,157,5
181,55,49,85,4,152,78,53,170,155
166,119,103,65,115,20,75,59,179,144
168,1,33,154,177,96,38,99,95,77
169,90,91,104,11,1,144,181,117,156
20,165,137,83,160,27,33,13,7,182
102,8,189,130,193,39,124,27,16,116
193,18,132,178,137,134,169,146,195,193
20,67,173,149,3,94,163,140,41,50
107,117,121,111,47,174,59,1,189,28
86,182,148,26,151,55,32,75,101,173
46,70,72,195,132,19,61,3,46,122
187,94,68,1,146,98,44,33,175,64
52,71,183,126,159,108,6,176,22,121
55,47,19,80,1,92,120,95,163,9
139,63,113,43,127,5,75,5,103,67
119,97,83,20,142,44,106,165,1,171
167,110,144,141,145,144,134,123,73,65
120,145,84,98,68,17,6,119,111,41
58,120,68,62,80,39,125,130,115,15
28,199,98,133,126,119,67,11,199,57
188,188,129,85,33,139,104,159,17,79
57,119,138,67,144,76,192,178,21,83
