66,160,138,69,31,83,100,82,146,122
133,67,52,56,147,102,106,67,99,7
135,89,172,148,174,101,185,78,108,105
60,55,63,119,57,92,82,128,83,124
112,160,184,101,94,157,119,72,41,96
46,206,139,87,132,74,145,188,71,159
76,60,123,174,66,131,43,143,116,157
84,81,102,95,176,80,107,96,121,148
49,69,164,160,141,151,102,76,125,173
131,72,84,93,147,65,99,129,69,7
133,130,165,59,120,62,78,74,131,64
154,133,154,193,131,150,145,52,177,133
65,136,131,173,139,100,100,96,81,51
94,103,28,119,81,160,77,153,129,61
147,157,35,167,129,63,111,51,97,108
120,85,150,134,120,197,81,152,71,50
182,62,148,69,67,89,92,7,96,87
98,9,67,155,117,6,196,52,122,173
126,76,35,56,104,50,72,86,148,108
99,46,132,69,181,38,118,47,1,89
95,68,136,155,112,133,40,75,155,19
116,40,81,105,63,195,144,132,95,80
64,146,100,34,50,95,93,59,82,83
109,130,98,161,92,61,102,113,84,119
155,26,80,154,84,67,211,90,111,142
112,61,87,105,70,75,81,163,72,131
109,53,99,96,136,198,71,66,142,146
90,146,89,64,131,105,101,90,66,104
106,62,81,96,58,128,95,120,143,119
119,87,91,137,134,93,130,123,97,111
41,88,145,52,131,92,100,161,36,126
74,68,104,106,91,144,125,41,123,156
60,107,79,103,78,72,88,84,118,87
113,59,61,92,67,83,105,111,61,70
121,70,95,146,89,121,24,68,152,96
85,67,122,92,159,182,70,107,148,98
150,50,100,126,116,120,112,51,67,99
125,126,128,72,136,116,3,70,110,99
160,79,99,97,25,164,120,113,131,92
126,134,136,184,56,93,111,72,55,119
74,125,98,179,21,112,61,84,77,114
137,140,115,88,5,76,115,126,195,103
27,134,63,153,146,175,148,95,112,109
101,171,76,154,161,104,140,105,53,87
62,85,119,106,90,151,108,140,59,85
99,153,108,56,63,38,102,164,86,62
131,111,82,98,142,100,155,73,48,118
35,137,115,123,95,50,43,94,117,38
58,67,61,53,108,72,102,64,74,119
98,55,128,112,159,97,111,148,102,32
